"filename", "language", "Python", "JSON with Comments", "JSON", "Batch", "Markdown", "JavaScript", "HTML", "Ini", "TypeScript", "pip requirements", "vue", "MS SQL", "Dotenv", "SCSS", "XML", "comment", "blank", "total"
"e:\VSProjects\AINovel\ainovel\.claude\settings.local.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\VSProjects\AINovel\ainovel\.prettierrc.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\VSProjects\AINovel\ainovel\README.md", "Markdown", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 44
"e:\VSProjects\AINovel\ainovel\backend\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 2, 14
"e:\VSProjects\AINovel\ainovel\backend\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32
"e:\VSProjects\AINovel\ainovel\backend\alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 24, 128
"e:\VSProjects\AINovel\ainovel\backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\VSProjects\AINovel\ainovel\backend\app\api\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\VSProjects\AINovel\ainovel\backend\app\api\ai.py", "Python", 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 27, 323
"e:\VSProjects\AINovel\ainovel\backend\app\api\auth.py", "Python", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 130
"e:\VSProjects\AINovel\ainovel\backend\app\api\novels.py", "Python", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 20, 195
"e:\VSProjects\AINovel\ainovel\backend\app\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\VSProjects\AINovel\ainovel\backend\app\core\config.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 22
"e:\VSProjects\AINovel\ainovel\backend\app\crud\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\VSProjects\AINovel\ainovel\backend\app\crud\crud_novel.py", "Python", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 140
"e:\VSProjects\AINovel\ainovel\backend\app\db\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\VSProjects\AINovel\ainovel\backend\app\db\database.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"e:\VSProjects\AINovel\ainovel\backend\app\db\init_db.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 24
"e:\VSProjects\AINovel\ainovel\backend\app\main.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 47
"e:\VSProjects\AINovel\ainovel\backend\app\models\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\VSProjects\AINovel\ainovel\backend\app\models\novel.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 36
"e:\VSProjects\AINovel\ainovel\backend\app\models\user.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\VSProjects\AINovel\ainovel\backend\app\models\vector.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\VSProjects\AINovel\ainovel\backend\app\schemas\__init__.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\VSProjects\AINovel\ainovel\backend\app\schemas\ai.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 39
"e:\VSProjects\AINovel\ainovel\backend\app\schemas\novel.py", "Python", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 73
"e:\VSProjects\AINovel\ainovel\backend\app\schemas\user.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"e:\VSProjects\AINovel\ainovel\backend\app\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\VSProjects\AINovel\ainovel\backend\app\services\ai_service.py", "Python", 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 35, 261
"e:\VSProjects\AINovel\ainovel\backend\app\services\vector_service.py", "Python", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 28, 187
"e:\VSProjects\AINovel\ainovel\backend\debug_write.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 71
"e:\VSProjects\AINovel\ainovel\backend\init_db.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 85
